 nds-w "nas-daß" nas-w nas-2 ns-w ns-ob xa nrs-2 "ns-daß" "nds-daß" nds-ob xd nrs-w x nir xp npr ndi ni ns-2 nds-2 nad na "xs-daß" nai nd xr n nar nap "nrs-daß" nrs-ob np ndp nr ndr nas-ob 
verkünden 0.0 0.0 0.0 0.00274 0.00096 0.0 -0.00359 0.0 0.00451 0.0 0.0 0.00113 0.0 -0.00158 0.0 0.0 0.0 -0.00151 -0.0057 0.24491 0.00246 0.00705 0.07397 0.0 -0.0052 -0.00916 0.0 -0.00128 -0.00184 0.18744 0.0 0.0 -0.02024 -0.00274 0.0 0.0 0.0 
wahrnehmen 0.0 0.0 0.0 0.00105 0.01394 0.0 -0.00271 0.0 0.00663 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00162 -0.00961 -0.00805 0.0 -0.01544 0.90426 0.0 -0.00507 -0.01323 0.0 -0.04696 0.0 -0.00904 0.0 0.0 -0.00917 -0.00274 -0.00872 0.0 0.0 
leben 0.0 0.0 0.0 -0.00065 -0.00142 0.0 0.00137 0.0 -0.00305 0.0 0.0 0.00256 0.0 -0.00076 0.0 0.0 -0.00051 -0.0012 -0.00931 -0.00941 -0.00024 -0.0185 -0.0858 0.0 -0.00365 -0.00315 0.00541 0.44202 0.0 -0.02885 0.0 0.0 0.58621 -0.00202 -0.00153 -0.00071 0.0 
kommunizieren 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00999 0.0 0.0 0.0173 0.03682 0.0 0.0 -0.01963 -0.07411 0.0 -0.00013 -0.01251 0.0 0.84479 0.0 -0.02363 0.0 0.0 0.21422 0.0 0.0 0.0 0.0 
heulen 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00059 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00988 0.02363 0.0 -0.00169 -0.09039 0.0 0.0 0.00268 0.0 0.78087 -0.00071 0.0 0.0 0.0 0.10367 0.0 0.0 0.0 0.0 
insistieren 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03562 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.39311 0.0 0.0 -0.09077 0.0 0.0 0.0 0.0 0.64604 0.0 -0.01762 0.0 0.0 0.01317 0.0 0.0 0.0 0.0 
erzeugen 0.0 0.00088 0.00355 -0.00011 -0.00217 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00406 -0.00163 -0.00886 -0.00913 0.0 0.00078 0.74251 0.0 -0.0053 -0.01325 0.0 -0.05036 0.0 0.0298 0.0 0.0 -0.01696 -0.00035 0.0 0.0 0.0 
folgen 0.00069 0.0 -0.00032 -0.00123 -0.00208 0.0 0.07064 0.0 -0.00225 4e-05 0.0 0.00553 -0.00012 0.0 0.0 0.0 -0.00111 -0.00099 -0.00851 -0.01035 0.00326 0.05777 -0.08653 0.0 -0.00452 0.5907 0.0 0.11092 0.0 -0.02428 0.0 0.0 0.11564 0.12493 -0.00424 0.0 0.0 
vermuten 0.0 0.00259 0.0 0.00052 -0.00219 0.0 0.0 0.0 0.7406 0.0 0.0 -0.0001 0.0 0.0 0.0 0.0 0.0 -0.00162 -0.00741 0.27627 0.0 -0.01975 0.03134 0.0 -0.00433 -0.01321 0.0 -0.05287 0.0 0.20889 0.0 0.0 -0.01457 -0.00195 -0.00188 0.0 0.0 
donnern 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00649 0.0 0.0 0.0 0.0 -0.01018 0.02848 0.02315 0.00234 -0.0916 0.0 0.0 0.0027 0.0 0.54613 0.0 -0.02365 0.0 0.0 0.17354 0.01921 0.0 0.0 0.0 
