 nds-w "nas-daß" nas-w nas-2 ns-w ns-ob xa nrs-2 "ns-daß" "nds-daß" nds-ob xd nrs-w x nir xp npr ndi ni ns-2 nds-2 nad na "xs-daß" nai nd xr n nar nap "nrs-daß" nrs-ob np ndp nr ndr nas-ob 
beharren 0.0 0.0 0.0 0.0 -0.00215 0.0 0.0 0.0 0.08021 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03376 0.03181 0.0 -0.00876 -0.08208 0.0 -0.00432 -0.0073 0.0 0.34488 0.0 -0.01315 0.0 0.0 0.58654 -0.00273 0.0 0.0 0.0 
gehen -6e-05 -0.00031 -0.00028 -0.00099 -0.00137 0.0 -0.00222 0.0 -0.00245 -7e-05 0.0 0.08429 -8e-05 0.31258 -0.00172 0.46804 -0.00608 0.00196 0.01851 -0.00749 -0.00022 -0.02066 -0.08848 0.00355 -0.0053 0.00828 0.00732 0.05611 -0.00136 -0.02888 0.0 0.0 0.28481 0.03633 -0.00597 -0.00069 -3e-05 
ekeln 0.0 0.0 0.0 0.0 0.0 0.0 0.04128 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.38282 0.0 0.0 0.0 0.0 -0.01336 -0.0889 0.0 0.0 -0.00807 0.0 0.12399 0.14445 -0.02842 0.0 0.0 0.0 0.05306 0.4324 0.18552 0.0 
leihen 0.02649 0.0 0.01616 0.00749 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.01 -0.00911 0.0 0.66202 -0.08975 0.0 0.0 -0.00152 0.0 -0.03589 1.12217 -0.02584 0.0 0.0 -0.02293 0.0 -0.00733 0.20532 0.0 
flüstern 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.07343 0.0 0.0 0.31075 0.05282 0.02749 -0.08111 0.0 -0.00473 -0.00259 0.0 0.3111 0.0003 -0.02707 0.0 0.0 -0.01032 0.3167 -0.00945 0.0 0.0 
erneuern 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0038 0.0 0.0 -0.01055 0.0 0.01263 0.40624 0.0 0.07086 -0.0102 0.0 -0.05302 0.0 0.13863 0.0 0.0 -0.01777 0.00084 0.03072 0.0 0.0 
ahnen 0.0 0.00172 0.0 2e-05 0.67725 0.0 0.0 0.0 0.52139 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02627 0.0 -0.01996 0.22442 0.0 0.0 -0.00698 0.0 -0.05287 0.0 -0.02805 0.0 0.0 -0.02589 0.00735 0.0 0.0 0.0 
produzieren 0.0 0.0 0.0 0.0022 -0.00179 0.0 -0.00292 -0.00021 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0051 0.0 -0.00815 -0.00707 -0.00024 0.08277 0.36156 0.0 -0.00508 -0.00616 0.0 -0.01278 -0.00193 0.05583 0.0 0.0 -0.01807 -0.00273 -0.00383 0.0 0.0 
gründen 0.0 0.0 -0.00032 -0.00111 -0.00225 0.0 0.0 0.00083 0.0 0.0 0.0 -0.00022 0.00012 0.0 -0.00202 0.0 0.02602 -0.00142 -0.00928 -0.00348 0.0 0.1292 0.31482 0.0 -0.00524 -0.01321 0.0 -0.0521 -0.00264 0.2058 0.0 0.0 -0.02603 -0.00273 0.00234 -0.00017 0.0 
festlegen 0.0 0.00156 0.00412 -0.00104 0.01383 0.0 -0.00192 0.0 -0.00094 0.0 0.0 0.0 0.0 0.0 0.01165 0.0 0.04809 0.0 -0.00267 -0.00403 0.0 -0.01644 0.29693 0.0 0.0 -0.01142 0.0 -0.0382 -0.00297 0.14909 0.0 0.0 -0.0229 0.00427 0.26687 -0.00032 0.0 
klettern 0.0 0.0 0.0 0.0 -0.00212 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00446 -0.01014 0.0 -0.01783 -0.0908 0.0 -0.00252 0.00501 0.0 0.1443 0.0 -0.02283 0.0 0.0 0.88603 0.00385 0.0 0.0 0.0 
wandern 0.0 0.0 0.0 0.0 0.0015 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00162 0.0 -0.01005 0.0 -0.02042 -0.09164 0.0 0.0 -0.01079 0.00015 0.39099 0.0 -0.02628 0.0 0.0 0.68976 0.01763 0.0 0.0 0.0 
bestimmen 0.0 -0.00034 0.00042 -0.00023 0.1039 -0.00022 -0.00357 0.0 -0.00298 0.0 0.0 -0.00022 0.0 -0.00214 -0.00147 0.0 -0.00627 -0.00143 -0.01014 -0.0102 0.0 -0.00383 0.54436 0.0 -0.00086 -0.00412 0.0 -0.04494 0.0 0.01117 0.0 0.0 -0.02598 -0.00156 -0.00535 0.0 0.0 
versichern 0.0 0.0 0.0 0.00205 -0.00137 0.0 0.0 0.01428 0.16914 0.10384 0.0 0.0 0.0 0.0 0.0 0.0 -0.00505 -0.00163 0.00202 1.51507 0.11353 -0.0096 -0.08353 0.0 -0.00187 -0.00808 0.0 -0.0298 -0.00229 -0.02834 0.00239 0.0 -0.02573 -0.00261 -0.00755 0.00817 0.0 
erniedrigen 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.16351 0.0 0.0 0.0 0.0 0.0 0.0 0.07894 0.0 0.0 0.0 0.0 0.0163 0.0 0.0 0.2252 0.0 0.04536 0.14131 0.0 -0.05205 0.0 -0.02627 0.0 0.0 0.00171 0.0 0.10023 0.07152 0.0 
folgern 0.0 0.0 0.0 0.0 0.00527 0.0 0.0 0.0 0.22024 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00315 0.83213 0.04139 -0.01744 -0.07366 0.0 0.0 -0.01288 0.0 0.09677 0.0 -0.00827 0.0 0.0 0.10602 0.0 0.0 0.0 0.0 
lehren 0.0 0.01102 0.0 -0.00122 0.00226 0.0 -0.00319 0.0 0.02159 0.0 0.0 0.0 0.04493 0.0 0.0043 0.0 -0.00456 0.00191 0.00728 -0.01024 0.0 0.10062 -0.05755 0.0 0.07305 0.0066 0.0 0.02797 0.11489 0.01617 0.03238 0.0 0.03672 -0.0027 -0.00333 0.01001 0.0 
bekommen 0.00027 -0.00036 0.00808 0.00749 0.02416 0.0 -0.00089 0.0 0.0 -0.00012 0.0 0.0 0.0 0.0 0.0 -0.00036 0.0 -0.00147 0.01189 -0.00655 -0.00024 0.02626 0.45619 0.0 0.03273 -0.01057 0.0 -0.05257 0.0 0.13377 0.0 0.0 -0.01062 -0.00273 -0.00178 0.0 0.00019 
lächeln 0.0 0.0 0.0 -0.0005 0.0 0.0 0.0 0.0 -0.00308 0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.00534 0.0 0.00669 0.11483 0.0 -0.01291 -0.08471 0.0 0.0 -0.00717 0.0 0.91875 0.0 0.0 0.0 0.0 0.07898 0.0 0.0 0.0 0.0 
